temperature_K,epsilon_r
302.0,200.000000
304.0,205.555556
306.0,205.555556
308.0,205.555556
310.0,211.111111
312.0,211.111111
314.0,216.666667
316.0,216.666667
318.0,222.222222
320.0,222.222222
322.0,227.777778
324.0,233.333333
326.0,233.333333
328.0,238.888889
330.0,244.444444
332.0,250.000000
334.0,250.000000
336.0,255.555556
338.0,261.111111
340.0,266.666667
342.0,272.222222
344.0,283.333333
346.0,288.888889
348.0,294.444444
350.0,300.000000
352.0,311.111111
354.0,316.666667
356.0,327.777778
358.0,338.888889
360.0,350.000000
362.0,361.111111
364.0,372.222222
366.0,383.333333
368.0,400.000000
370.0,416.666667
372.0,433.333333
374.0,450.000000
376.0,466.666667
378.0,488.888889
380.0,516.666667
382.0,544.444444
384.0,572.222222
386.0,605.555556
388.0,644.444444
390.0,694.444444
392.0,750.000000
394.0,811.111111
396.0,894.444444
398.0,1000.000000
400.0,1150.000000
401.0,1233.333333
402.0,1511.111111
403.0,1966.666667
404.0,2061.111111
406.0,2027.777778
408.0,1988.888889
410.0,1944.444444
412.0,1900.000000
414.0,1861.111111
416.0,1825.000000
418.0,1788.888889
420.0,1755.555556
422.0,1722.222222
424.0,1694.444444
426.0,1661.111111
428.0,1633.333333
430.0,1605.555556
432.0,1577.777778
434.0,1555.555556
436.0,1533.333333
438.0,1516.666667
440.0,1500.000000
442.0,1483.333333
444.0,1472.222222
446.0,1461.111111
448.0,1450.000000
450.0,1438.888889
452.0,1427.777778
454.0,1416.666667
456.0,1405.555556
458.0,1394.444444
460.0,1377.777778
462.0,1366.666667
464.0,1355.555556
466.0,1344.444444
468.0,1333.333333
470.0,1322.222222
