temperature_C,temperature_K,epsilon_r,chi_soft
142.5,415.65,6353.571429,505.123685
145.0,418.15,5807.142857,461.640281
147.5,420.65,5496.428571,436.914423
150.0,423.15,4939.285714,392.578404
152.5,425.65,4585.714286,364.442083
155.0,428.15,4264.285714,338.863610
157.5,430.65,4007.142857,318.400832
160.0,433.15,3760.714286,298.790669
162.5,435.65,3546.428571,281.738354
165.0,438.15,3342.857143,265.538654
167.5,440.65,3182.142857,252.749418
170.0,443.15,3010.714286,239.107566
172.5,445.65,2871.428571,228.023561
175.0,448.15,2753.571429,218.644787
